datetime,balance,equity,drawdown_percent
2025-03-25 08:38:02.964400,312.20,312.20,0.00
2025-03-25 08:39:03.407095,312.20,310.88,0.42
2025-03-25 08:40:03.422817,312.20,311.69,0.16
2025-03-25 08:41:03.446553,312.20,310.09,0.68
2025-03-25 08:42:03.469193,312.20,317.59,-1.73
2025-03-25 08:43:03.487866,312.20,315.09,-0.93
2025-03-25 08:44:03.505895,312.20,299.40,4.10
2025-03-25 08:45:03.523281,312.20,294.61,5.63
2025-03-25 08:46:03.549185,312.20,299.70,4.00
2025-03-25 08:47:03.566947,312.20,300.92,3.61
2025-03-25 08:48:03.581642,312.20,304.70,2.40
2025-03-25 08:49:03.599756,312.20,300.95,3.60
2025-03-25 08:50:03.614573,312.20,290.88,6.83
2025-03-25 08:51:03.631426,289.75,292.69,6.25
2025-03-25 08:52:03.905278,289.75,296.31,5.09
2025-03-25 08:53:03.919396,289.75,302.87,2.99
2025-03-25 08:54:03.935694,289.75,309.52,0.86
2025-03-25 08:55:03.953697,289.75,302.32,3.16
2025-03-25 08:56:03.974985,289.75,304.49,2.47
2025-03-25 08:57:04.011384,289.75,308.74,1.11
2025-03-25 08:58:04.036200,289.75,314.30,-0.67
2025-03-25 08:59:04.064616,289.75,311.79,0.13
2025-03-25 09:00:04.076252,289.75,312.46,-0.08
2025-03-25 09:01:04.093452,289.75,310.46,0.56
2025-03-25 09:02:04.113331,289.75,309.11,0.99
2025-03-25 09:03:04.130136,289.75,309.71,0.80
2025-03-25 09:04:04.145044,289.75,319.85,-2.45
2025-03-25 09:05:04.158392,289.75,337.01,-7.95
2025-03-25 09:06:04.174161,289.75,346.46,-10.97
2025-03-25 09:07:04.187666,289.75,344.38,-10.31
2025-03-25 09:08:04.203775,289.75,337.53,-8.11
2025-03-25 09:09:04.222814,289.75,328.43,-5.20
2025-03-25 09:10:04.237201,289.75,329.73,-5.61
2025-03-25 09:11:04.252927,289.75,331.71,-6.25
2025-03-25 09:12:04.266679,289.75,323.96,-3.77
2025-03-25 09:13:04.281506,289.75,324.19,-3.84
2025-03-25 09:14:04.300791,289.75,325.31,-4.20
2025-03-25 09:15:04.314411,289.75,329.55,-5.56
2025-03-25 09:16:04.345816,289.75,342.83,-9.81
2025-03-25 09:17:04.374086,289.75,340.49,-9.06
2025-03-25 09:18:04.408230,289.75,324.17,-3.83
2025-03-25 09:19:04.424432,289.75,316.43,-1.35
2025-03-25 09:20:04.440461,289.75,320.56,-2.68
2025-03-25 09:21:04.459177,289.75,319.00,-2.18
2025-03-25 09:22:04.474615,289.75,317.71,-1.76
2025-03-25 09:23:04.493831,289.75,316.59,-1.41
2025-03-25 09:24:04.527340,289.75,312.28,-0.03
2025-03-25 09:25:04.541868,289.75,310.65,0.50
2025-03-25 09:26:04.556200,289.75,316.75,-1.46
2025-03-25 09:27:04.573034,289.75,314.60,-0.77
2025-03-25 09:28:04.597024,289.75,304.49,2.47
2025-03-25 09:29:04.619661,289.75,312.60,-0.13
2025-03-25 09:30:04.639038,289.75,309.59,0.84
2025-03-25 09:31:04.674962,289.75,320.27,-2.58
2025-03-25 09:32:04.691420,289.75,317.94,-1.84
2025-03-25 09:33:04.708278,289.75,313.59,-0.45
2025-03-25 09:34:04.732188,289.75,322.21,-3.21
2025-03-25 09:35:04.750042,289.75,316.46,-1.36
2025-03-25 09:36:04.781148,289.75,319.99,-2.50
2025-03-25 09:37:04.801377,289.75,323.16,-3.51
2025-03-25 09:38:04.817102,289.75,320.40,-2.63
2025-03-25 09:39:04.840099,289.75,329.59,-5.57
2025-03-25 09:40:04.858915,289.75,336.20,-7.69
2025-03-25 09:41:04.898499,289.75,340.10,-8.94
2025-03-25 09:42:04.935136,335.63,345.55,-10.68
2025-03-25 09:43:05.220359,335.63,345.12,-10.54
2025-03-25 09:44:05.234609,335.63,344.56,-10.37
2025-03-25 09:45:05.251435,335.63,347.26,-11.23
2025-03-25 09:46:05.268197,335.63,340.66,-9.12
2025-03-25 09:47:05.285476,335.63,340.65,-9.11
2025-03-25 09:48:05.299721,335.63,336.62,-7.82
2025-03-25 09:49:05.313724,335.63,339.02,-8.59
2025-03-25 09:50:05.329088,335.63,330.44,-5.84
2025-03-25 09:51:05.342332,335.63,326.98,-4.73
2025-03-25 09:52:05.360205,335.63,324.74,-4.02
2025-03-25 09:53:05.377507,335.63,325.93,-4.40
2025-03-25 09:54:05.393018,335.63,320.62,-2.70
2025-03-25 09:55:05.408502,335.63,326.22,-4.49
2025-03-25 09:56:05.428970,335.63,326.82,-4.68
2025-03-25 09:57:05.448830,335.63,322.20,-3.20
2025-03-25 09:58:05.472217,335.63,315.80,-1.15
2025-03-25 09:59:05.488311,335.63,314.99,-0.89
2025-03-25 10:00:05.506372,335.63,314.68,-0.79
2025-03-25 10:01:05.530775,335.63,319.68,-2.40
2025-03-25 10:02:05.547044,335.63,327.26,-4.82
2025-03-25 10:03:05.567162,335.63,328.87,-5.34
2025-03-25 10:04:05.594782,335.63,321.13,-2.86
2025-03-25 10:05:05.618674,335.63,313.78,-0.51
2025-03-25 10:06:05.638482,335.63,316.68,-1.43
2025-03-25 10:07:05.655048,335.63,320.65,-2.71
2025-03-25 10:08:05.690490,335.63,316.81,-1.48
2025-03-25 10:09:05.708732,335.63,317.14,-1.58
2025-03-25 10:10:05.727125,335.63,321.20,-2.88
2025-03-25 10:11:05.755338,335.63,320.33,-2.60
2025-03-25 10:12:05.768840,307.13,304.45,2.48
2025-03-25 10:13:05.952103,307.13,294.92,5.53
2025-03-25 10:14:05.968036,307.13,293.57,5.97
2025-03-25 10:15:05.983477,307.13,302.03,3.26
2025-03-25 10:16:05.999853,307.13,296.79,4.94
2025-03-25 10:17:06.015534,307.13,288.61,7.56
2025-03-25 10:18:06.033401,307.13,286.83,8.13
2025-03-25 10:19:06.051363,307.13,284.54,8.86
2025-03-25 10:20:06.086858,307.13,285.23,8.64
2025-03-25 10:21:06.102954,307.13,287.71,7.84
2025-03-25 10:22:06.129598,307.13,283.88,9.07
2025-03-25 10:23:06.170368,307.13,285.95,8.41
2025-03-25 10:24:06.189784,307.13,286.56,8.21
2025-03-25 10:25:06.210819,307.13,294.20,5.77
2025-03-25 10:26:06.243891,307.13,299.83,3.96
2025-03-25 10:27:06.260627,307.13,299.53,4.06
2025-03-25 10:28:06.279555,307.13,298.01,4.55
2025-03-25 10:29:06.297864,307.13,297.94,4.57
2025-03-25 10:30:06.333496,307.13,296.55,5.01
2025-03-25 10:31:06.352182,307.13,281.03,9.98
2025-03-25 10:32:06.373570,307.13,289.43,7.29
2025-03-25 10:33:06.389813,307.13,291.31,6.69
2025-03-25 10:34:06.403550,307.13,290.81,6.85
2025-03-25 10:35:06.422953,307.13,295.53,5.34
2025-03-25 10:36:06.442126,307.13,293.41,6.02
2025-03-25 10:37:06.468228,307.13,297.17,4.81
2025-03-25 10:38:06.483525,307.13,295.44,5.37
2025-03-25 10:39:06.504173,307.13,288.57,7.57
2025-03-25 10:40:06.519010,307.13,291.07,6.77
2025-03-25 10:41:06.533931,307.13,282.05,9.66
2025-03-25 10:42:06.553766,307.13,291.35,6.68
2025-03-25 10:43:06.583800,307.13,295.72,5.28
2025-03-25 10:44:06.598873,307.13,294.64,5.62
2025-03-25 10:45:06.626261,307.13,301.04,3.57
2025-03-25 10:46:06.645599,307.13,293.49,5.99
2025-03-25 10:47:06.666203,307.13,296.39,5.06
2025-03-25 10:48:06.692859,307.13,289.12,7.39
2025-03-25 10:49:06.725251,307.13,286.50,8.23
2025-03-25 10:50:06.745330,307.13,288.81,7.49
2025-03-25 10:51:06.763949,307.13,286.55,8.22
2025-03-25 10:52:06.778849,307.13,282.28,9.58
2025-03-25 10:53:06.794350,307.13,282.57,9.49
2025-03-25 10:54:06.816184,307.13,282.04,9.66
2025-03-25 10:55:06.833433,307.13,279.64,10.43
2025-03-25 10:56:06.847790,307.13,279.02,10.63
2025-03-25 10:57:06.866759,307.13,278.31,10.86
2025-03-25 10:58:06.885418,307.13,280.28,10.22
2025-03-25 10:59:06.921993,307.13,285.48,8.56
2025-03-25 11:00:06.945617,307.13,281.64,9.79
2025-03-25 11:01:06.961257,307.13,285.83,8.45
2025-03-25 11:02:06.975503,307.13,288.63,7.55
2025-03-25 11:03:07.001232,307.13,279.91,10.34
2025-03-25 11:04:07.018047,307.13,286.69,8.17
2025-03-25 11:05:07.039728,307.13,285.62,8.51
2025-03-25 11:06:07.059040,307.13,280.08,10.29
2025-03-25 11:07:07.076115,307.13,281.18,9.94
2025-03-25 11:08:07.125375,307.13,283.34,9.24
2025-03-25 11:09:07.146565,307.13,288.26,7.67
2025-03-25 11:10:07.186434,307.13,293.97,5.84
2025-03-25 11:11:07.204792,307.13,301.20,3.52
2025-03-25 11:12:07.219870,307.13,298.81,4.29
2025-03-25 11:13:07.249922,307.13,294.90,5.54
2025-03-25 11:14:07.269885,307.13,298.21,4.48
2025-03-25 11:15:07.282937,307.13,297.28,4.78
2025-03-25 11:16:07.295979,307.13,288.79,7.50
2025-03-25 11:17:07.316042,307.13,290.54,6.94
2025-03-25 11:18:07.331846,307.13,286.00,8.39
2025-03-25 11:19:07.344646,307.13,284.99,8.72
2025-03-25 11:20:07.360108,307.13,285.46,8.57
2025-03-25 11:21:07.382442,307.13,289.17,7.38
2025-03-25 11:22:07.413058,307.13,293.57,5.97
2025-03-25 11:23:07.431360,307.13,298.07,4.53
2025-03-25 11:24:07.449911,307.13,296.58,5.00
2025-03-25 11:25:07.487114,307.13,298.23,4.47
2025-03-25 11:26:07.504820,307.13,295.44,5.37
2025-03-25 11:27:07.520305,307.13,292.54,6.30
2025-03-25 11:28:07.536784,307.13,290.99,6.79
2025-03-25 11:29:07.554026,307.13,290.81,6.85
2025-03-25 11:30:07.587992,307.13,288.26,7.67
2025-03-25 11:31:07.624602,307.13,286.15,8.34
2025-03-25 11:32:07.643792,307.13,284.82,8.77
2025-03-25 11:33:07.658652,307.13,284.72,8.80
2025-03-25 11:34:07.687234,307.13,284.61,8.84
2025-03-25 11:35:07.703670,307.13,290.79,6.86
2025-03-25 11:36:07.718023,307.13,290.05,7.09
2025-03-25 11:37:07.731878,307.13,288.56,7.57
2025-03-25 11:38:07.746499,307.13,285.20,8.65
2025-03-25 11:39:07.762302,307.13,285.90,8.42
2025-03-25 11:40:07.777176,307.13,286.59,8.20
2025-03-25 11:41:07.791340,307.13,284.32,8.93
2025-03-25 11:42:07.811184,307.13,283.66,9.14
2025-03-25 11:43:07.848862,307.13,288.69,7.53
2025-03-25 11:44:07.865209,307.13,291.47,6.64
2025-03-25 11:45:07.880198,307.13,291.88,6.51
2025-03-25 11:46:07.894337,307.13,285.98,8.40
2025-03-25 11:47:07.909329,307.13,293.97,5.84
2025-03-25 11:48:07.926887,307.13,297.58,4.68
2025-03-25 11:49:07.945121,288.17,295.57,5.33
2025-03-25 11:49:25.404223,288.17,297.77,-3.33
2025-03-25 11:50:25.417610,288.01,293.83,-1.96
2025-03-25 11:51:25.430276,288.01,294.65,-2.25
2025-03-25 11:52:25.441683,288.01,297.44,-3.22
2025-03-25 11:53:25.453626,288.01,296.75,-2.98
2025-03-25 11:54:25.475932,288.01,297.62,-3.28
2025-03-25 11:55:25.487187,288.01,297.09,-3.10
2025-03-25 11:56:25.508322,288.01,296.78,-2.99
2025-03-25 11:57:25.518699,288.01,293.92,-2.00
2025-03-25 11:58:25.545808,288.01,291.20,-1.05
2025-03-25 11:59:25.568548,288.01,288.27,-0.03
2025-03-25 12:00:25.586857,288.01,287.23,0.33
2025-03-25 12:01:25.600471,288.01,284.80,1.17
2025-03-25 12:02:25.624495,288.01,282.87,1.84
2025-03-25 12:03:25.648995,288.01,280.53,2.65
